ID,Real Angle,Estimated Angle,Line Midpoint
001,p1,82.15235910681974,363.4499949350501
002,p1,72.86717830448784,387.7907726962726
003,p1,84.05417832206513,350.3898498004187
004,p1,82.21398655874876,318.4259188046244
005,p1,79.74203025388164,404.19675548360306
006,p1,82.50802603262406,403.4188455498216
007,p1,81.02013583610518,421.7503051276112
008,p2,83.35720161611476,421.3969176868351
009,p2,79.57736735964168,414.5484927310266
010,p2,86.59660375150499,400.85339977214096
011,p2,60.270261276732285,348.51094467279233
012,p2,53.942589457713446,388.43240059512664
013,p3,83.18604721420554,230.37788591707564
014,p3,82.43124010731302,200.5745894358251
015,p3,85.13734787863675,255.52313421084085
016p3,10,91.35959983096029,249.64835513609
017,p3,76.51821620954452,263.06571798699497
018,p3,74.06405587946648,239.67332591435337
019,p4,89.53689125573668,345.87294566995695
020,p4,83.1678347360993,341.27641693859664
021,p4,73.67554308867587,321.4718964889894
022,p4,72.8658449997612,319.0167628584904
023,p4,70.09344156368913,306.27922862440084
024,p4,70.78447981759268,281.5278856823742
025,p5,102.92436226073579,333.8394311064718
026,p5,111.24990651243763,323.4749587233149
027,p5,83.75307444233898,355.2919962398563
028,p5,94.0254504596868,344.6305109107823
029,p5,72.13357673579483,342.97758245840186
030,p5,71.90852217765413,362.4964010445799
031,0,92.23103735685936,293.0271082267428
033,0,96.36024602286736,279.6913063497093
035,5,81.50691496317222,322.01045772044677
037,5,87.53426081494685,309.6358894656694
039,10,84.5069015383395,328.4226058743021
041,10,90.65586940618473,308.2005393722773
043,0,105.18513867220204,210.48080240921604
045,0,100.3103836312615,144.85036389770212
047,5,103.40339938071183,233.21538425369323
049,5,106.37511414702499,180.8045096780785
051,10,96.40367493241108,239.79288902078565
053,10,103.42768255162332,189.35500783423538
055,0,82.72713545907168,267.08214861652874
057,0,80.29920419215989,252.94209337301584
059,5,67.15894438778128,305.04541972230936
061,5,65.39564481097662,280.27370503801353
063,10,78.81048401464354,219.2068929274686
065,10,64.24882503228464,302.43546604164817
067,0,98.37484174901596,209.74436414809753
069,0,95.16485927911788,185.2441259910823
071,5,91.08179242118369,216.41248313929665
073,5,99.8252402573124,223.97734356214687
075,10,83.0477222838376,230.40824810249038
077,10,80.3186126084997,237.4768753295126
079,0,92.93704981371505,344.0066501843903
081,0,102.14410113457484,305.86380478963827
083,5,73.00252573939677,300.1883354166757
085,5,71.28337610197734,291.95151938819606
087,10,64.8334727941413,293.9587187510423
089,10,64.37409881377204,248.44517629524267
091,0,95.95446432384911,306.56171650868146
093,0,92.7461966513363,309.694373596133
095,5,76.12126374312089,321.31600725360363
097,5,81.1260245597455,300.74692985501963
099,10,70.70404582987136,321.3472147617148
101,10,63.80527956756864,280.80747678920864
103,0,112.0446287277931,327.7824742836172
105,0,113.3348176108478,342.6910485975894
107,5,89.12908290722363,329.65318266717014
109,5,92.32857478750228,342.74714489242194
111,10,82.50258278345805,295.9955137609104
113,10,93.76680470501955,296.24181342294594
115,0,83.92217191205813,324.7062571867472
117,0,82.91247131411578,293.5648026269299
119,5,76.26839285237638,352.82350939746556
121,5,67.06402766630953,332.2909892187032
123,10,65.82092419542688,361.8754868459087
125,10,69.56459395582475,350.3265733192749
127,0,90.52557647877931,283.66821116960534
129,0,90.06166008303171,250.6223320085718
131,5,77.68472249877769,280.71902244319824
133,5,76.96379801534746,286.9727019139209
135,10,96.64869512012187,51.71966870395413
137,10,66.97443377627128,298.3184451566115
139,0,93.23057341240754,252.9652126673003
141,0,89.27850138344698,230.5651136718156
143,5,80.33964101110176,258.76012533329856
145,5,83.55254367188715,238.67376802541685
147,10,77.36588387510022,275.3285832042095
149,10,75.0895376960517,280.7327468551298
