ID,Real Angle,Estimated Angle,Line Midpoint
001,p1,81.99095571932311,254.3793305249677
002,p1,82.97714667010608,266.81381790617445
003,p1,90.7216057620097,250.67226545281943
004,p1,92.04118850694965,251.51153910919356
005,p1,82.62350180418389,278.10209520666245
006,p1,77.74411518241753,278.2560122613572
007,p1,99.63705366311181,247.15193614709676
008,p2,79.55368845866272,291.7085555194262
009,p2,101.0688193731331,254.67442958874102
010,p2,97.7386216640625,270.59922522892043
011,p2,85.55405619160878,261.15167902525565
012,p2,90.57490783248291,255.04889948182057
013,p3,91.00934669824699,234.11665497819757
014,p3,102.32315176374213,224.15807470172794
015,p3,90.21420180066494,241.01285139156414
016p3,10,91.31124626802097,238.18265602095119
017,p3,84.8897381384875,248.1619124642806
018,p3,96.00589096843623,236.790613370345
019,p4,90.37126209154914,285.5091556992676
020,p4,84.74295015850241,270.4625674049958
021,p4,78.19066043583592,273.48205020643604
022,p4,86.16954357168764,250.21246159807475
023,p4,71.89319997559572,271.21786969541216
024,p4,80.32283695196232,253.8632034947781
025,p5,90.65725510602961,266.8531455727993
026,p5,90.98364756680658,258.1287487960281
027,p5,80.4119082399769,279.165098723706
028,p5,88.86041035201336,267.40646696882277
029,p5,75.42318739907452,271.40846862873457
030,p5,94.57517204668747,263.501801225553
031,0,88.28894124378378,250.66645220967112
033,0,93.53672424997262,234.07870355535147
035,5,80.00233576321054,268.57894482801305
037,5,90.16243653812799,253.45322674472067
039,10,76.07800251362704,274.0266334051396
041,10,89.95843022592538,257.28366883480686
043,0,100.53598438456333,255.5163866454231
045,0,87.31889374386726,266.34843902370085
047,5,98.58879026983554,248.16800409922212
049,5,87.9061655846169,263.98093047029954
051,10,92.84534061197328,248.72513409768726
053,10,86.46205182894668,243.32604344031506
055,0,89.52121861766439,240.90302032641222
057,0,89.43541343708067,236.08556511348252
059,5,76.46408002038041,262.0439847813693
061,5,82.77858898535113,253.47982625777362
063,10,63.401497498171345,268.31679524065447
065,10,67.71705044716938,256.25374806134755
067,0,85.88030542087613,266.24410878248625
069,0,96.143853007036,244.92279594369714
071,5,93.65453235408141,253.06323433443038
073,5,105.96157730798336,225.36586859032573
075,10,92.54495390325637,237.86036313203823
077,10,84.56963200960286,253.8527923302566
079,0,88.66171983080615,272.8143079380496
081,0,92.93307758289313,254.30422642606712
083,5,79.03987011605619,257.9521123444883
085,5,80.39686079732509,256.1188179644279
087,10,73.42302613818809,249.38002892785096
089,10,76.99524777257444,242.59481621925698
091,0,93.89827578924098,258.1692152990212
093,0,88.00469291959368,264.2197184619527
095,5,76.2789238497876,269.61546281318016
097,5,82.96262856116633,249.26077805571865
099,10,80.8148648606296,256.3987254368767
101,10,77.45244097969382,241.85039963981865
103,0,86.91374402829133,265.21231272859535
105,0,91.91894850681487,263.2824641926363
107,5,89.53846514781972,262.7692653699443
109,5,91.75392312365577,263.28178978099504
111,10,88.404479022908,261.98420578409616
113,10,86.90267975062649,255.2216696728011
115,0,83.33942696002602,276.18030150516387
117,0,94.75281177428688,237.77541664535468
119,5,79.32100142061901,273.1991775520793
121,5,80.89032271345054,250.66209537348794
123,10,79.4031393815512,280.17322072947655
125,10,76.3767121494988,269.1536352353686
127,0,89.28251313745918,266.1786086455937
129,0,89.4863512505408,230.76687656623346
131,5,83.88952591599589,255.86280316755443
133,5,76.97399147536542,255.8757265263298
135,10,71.09993753858573,279.8358364592209
137,10,76.54555665322812,277.3973417601609
139,0,88.30170079551465,239.97500588184175
141,0,100.8779272405437,223.41556864717296
143,5,94.73177370363176,234.7274494565231
145,5,99.3726163786447,233.11687559438394
147,10,87.91154507572186,242.1030043310423
149,10,88.52190273125886,244.98211647869147
