ID,Real Angle,Estimated Angle,Line Midpoint
032,0,90.24059260492638,159.75590489863595
034,0,89.89439315356408,137.69514306542737
036,5,85.58996743257413,152.1177463169122
038,5,86.96895604781467,142.12121352621168
040,10,84.53859673912264,167.5619543062823
042,10,89.18670408785565,143.03004143646407
044,0,97.88735368253282,134.49107142857144
046,0,90.60231219368907,189.15073529411768
048,5,92.17873004731501,152.18159173506473
050,5,85.03252725555853,160.0625
052,10,88.79047668481103,140.0506495786517
054,10,91.4453412636461,140.1757262069762
056,0,88.63857005156933,156.6211831059811
058,0,89.49914236125062,123.02866693679093
060,5,90.0,192.2391304347826
062,5,90.0,169.48648648648648
064,10,84.58106090188542,161.69256756756755
066,10,90.0,163.4857142857143
068,0,89.28268105175168,169.06341807909604
070,0,92.35193195598714,151.644623233909
072,5,91.67086459394679,136.0679347826087
074,5,87.69511682450768,134.08779761904762
076,10,89.4313853204123,121.67691415313226
078,10,95.11971073278744,172.13709677419354
080,0,89.93156089548005,165.85349576120507
082,0,91.0400418477511,148.6281337171876
084,5,85.29144033350994,142.52407873208136
086,5,82.45485430918694,91.51713709677422
088,10,80.57750538927914,90.88636363636363
090,10,82.48147680088655,87.28713768115944
092,0,91.34506273412046,167.29039537023928
094,0,91.71820364626323,161.6583094555874
096,5,85.48458953259686,147.29884971934
098,5,84.32609913166544,135.5303178963893
100,10,78.50201921003533,131.19619741100323
102,10,87.27370483223025,133.2556561085973
104,0,88.79042098135284,167.05174381448006
106,0,93.2231562785666,172.57319486924325
108,5,88.1751212664601,137.99842374885066
110,5,91.5201382890067,182.49395438569684
112,10,87.58624529007658,130.95719368187324
114,10,93.55777975020062,162.79048913043476
116,0,87.57650071817895,149.21403104026845
118,0,90.15085743891777,144.01433913598567
120,5,82.79469572040057,141.3763261781396
122,5,86.10037854288429,143.5861205841203
124,10,78.08047249219211,104.67027863777085
126,10,87.95224626122678,148.058151428505
128,0,90.30275764150431,198.95867510350755
130,0,88.03808031860378,148.6607302923161
132,5,79.90795569221633,152.140625
134,5,84.81958109470202,160.03223589202398
136,10,75.66023094952772,185.63005050505052
138,10,74.1621676183263,112.057917193426
140,0,87.7173211996968,144.24990778310587
142,0,89.3291667062203,137.18875691302162
144,5,87.57958033772869,139.33072682268227
146,5,92.17248213357786,155.9203703703704
148,10,98.3737478059139,210.27651515151513
150,10,94.57705048470326,170.7894880174292
