ID,Real Angle,Estimated Angle,Line Midpoint
032,0,90.97715556141847,215.7047826349674
034,0,93.55163775454838,200.99456326492495
036,5,85.43194482532972,208.27917660159463
038,5,89.4855707919599,211.7613217928556
040,10,84.20882623993467,225.39942986657914
042,10,89.34726708496493,185.23049464309668
044,0,93.65987378604909,229.7554394496109
046,0,89.46816906015437,240.17501417439527
048,5,93.6017867390795,210.67299264231767
050,5,86.0503784119355,346.10080147327517
052,10,93.01373679308934,206.3607703683322
054,10,91.78035161668554,184.2661469550873
056,0,90.09698572171592,187.64095271133777
058,0,90.03488652324688,358.2711778644433
060,5,80.37565834570161,154.7094068758583
062,5,89.75892017856894,351.732961072104
064,10,94.89399970881735,286.2116983488311
066,10,86.72039087369212,338.8274770825612
068,0,93.49354369703993,212.87287089911808
070,0,88.03360294171857,191.37482491786426
072,5,89.6052325976496,196.37829709884576
074,5,92.55444057243899,152.39320734037597
076,10,87.81631552555062,148.5301640487907
078,10,88.34325596280011,138.94869851043148
080,0,90.24379226729985,219.49476706180923
082,0,89.91701236717243,205.74449785089803
084,5,82.23311443918143,170.78138098271114
086,5,81.00008803620912,129.41108776911582
088,10,75.48369632084639,108.23195978785591
090,10,80.08940584866268,103.04153483514307
092,0,88.96105986730335,219.03470483100585
094,0,90.976555752818,204.96617266979413
096,5,80.87312229759544,184.89941664069318
098,5,82.46760621473001,167.1653998628717
100,10,78.53953821633132,192.80174687304196
102,10,76.41600939968993,79.9743543654376
104,0,94.07577640929021,239.8075947298455
106,0,102.20198670832681,275.00993210096954
108,5,87.30737281675854,211.40717196117424
110,5,91.18077256114283,204.4211843803106
112,10,87.06786005859941,188.14500851596517
114,10,86.06947760770517,156.3017540363336
116,0,86.239226258586,187.488831202896
118,0,89.44604412595615,178.87515277899848
120,5,86.33483223501209,224.16930117049623
122,5,84.33895059821731,184.11796122095888
124,10,82.97720285059552,218.31395047587904
126,10,86.3533081897638,204.72618495463735
128,0,87.84511103480243,260.41845513273364
130,0,87.97487231965636,184.7863392229351
132,5,81.46064924573315,256.5992513134775
134,5,82.88572302944975,235.53307256762102
136,10,84.40423114588947,303.5930095391699
138,10,92.63013994638308,341.7396415728564
140,0,88.04021044972953,162.81994736216853
142,0,91.4020699600154,166.4329827180008
144,5,83.65830974065378,154.60360847629087
146,5,85.64106803222555,136.78843847485282
148,10,81.62668595972484,133.3628228627057
150,10,83.41616731847327,129.74219137361837
